,source_snt,simplified_snt
0,"meta - regression analysis of non - volume - equated studies showed a significant effect favoring higher frequencies , although the overall difference in magnitude of effect between frequencies of 1 and 3 + days per week was modest ."," study showed a significant effect favoring higher frequencies , although the overall difference in magnitude of effect between frequencies of 1 and 3 + days per week was modest ."
1,"four major capabilities were identified , each of which evolves as a result of using the tools ."," four major capabilities were identified , each of which evolves as a result of using the tools ."
2,"despite the vast range of severity in kidney disease ( e , g , , pre - dialysis , dialysis , transplant ) , exercise has a potential role in all patients suffering from the condition .",". despite the vast range of severity in kidney disease ( e , g , , pre - dialysis , dialys , transplant ) , exercise has a potential role in all patients suffering from the condition ."
3,motivated by recent financial crises significant research efforts have been put into studying contagion effects and herding behaviour in financial markets ., and herding behaviour in financial markets. motivated by recent financial crises significant research efforts have been put into studying contagion effects.
4,"with the advent of modern computing , cross - regional trading transactions can now be executed within milliseconds , a reality that is impossible without the advancements of software systems technology ."," transactions can now be executed within milliseconds , a reality that is impossible without the advancements of software systems technology."
5,the increasing prevalence of internet of things ( iot ) devices has made it inevitable that their pertinence to digital forensic investigations will increase into the foreseeable future ., devices (iot ) devices has made it inevitable that their pertinence to digital forensic investigations will increase into the foreseeable future.
6,"to efficiently check for collisions during planning , we developed a new approach that takes into account the shape of the robot and the obstacles .", that takes into account the shape of the robot and the obstacles.
7,"in particular , cloud computing , host and guest machine time can be manipulated in various ways by an attacker ."," computing in particular , cloud computing , host and guest machine time can be manipulated in various ways by an attacker."
8,"therefore , when an error message is reported , it is vital that the smart speaker gives an effective and proper response .",". therefore , when an error message is reported , it is vital that the smart speaker gives an effective and proper response ."
9,"remarkably , the necessary involvement of women in an enhancing scenario has not been discussed by its proponents .",". remarkably , the necessary involvement of women in an enhancing scenario has not been discussed by its proponents ."
10,"this review recommends safe and effective whole - body aerobic exercise at moderate intensity ( i , e , , 50 - 65 % of maximum oxygen intake , 30 - 60 min per session , 3 - 4 times a week ) that primarily focuses on the major muscle groups for the prevention and treatment of hypertension ."," exercise at moderate intensity (i , e , , 50 - 65 % of maximum oxygen intake , 30 - 60 min per session , 3 - 4 times a week ) that primarily focuses on the major muscle groups for the prevention and treatment of hypertension ."
11,"despite the lack of a unified feminist conclusion in the discussions about the merits and risks of human genome modification , there is an urgent need to clarify the role of women in this scenario .", of human genome modification. There is an urgent need to clarify the role of women in this scenario.
12,annotation of bioassay protocols using semantic web vocabulary is a way to make experiment descriptions machine - readable ., of bioassay protocols using semantic web vocabulary is a way to make experiment descriptions machine - readable .
13,however sensor based robot control overcomes many of the difficulties of uncertain models and unknown environments which limit the domain of application of the previous methods ., robot control overcomes many of the difficulties of uncertain models and unknown environments.
14,"what 's more , the methods through which the technology can be manipulated to secrete , disguise and protect fraudulent activities - all while staying away from corporate networks where they can readily be monitored and detected - are constantly evolving ."," ways through which technology can be manipulated to secrete , disguise and protect fraudulent activities are constantly evolving."
15,"significant differences were observed between the pharmacophore profiles obtained for the drug molecules and those obtained for the high - throughput screening compounds , which appear to be .", significant differences were observed between the pharmacophore profiles obtained for the drug molecules and the high - throughput screening compounds which appear to be .
16,the misinformation containment problem aims at limiting the spread of misinformation in online social networks by launching competing campaigns ., networks by launching competing campaigns. the misinformation containment problem aims at limiting the spread of misinformation in online social networks.
17,methods : systematic review with meta - analysis of randomized clinical trials ., with systematic with with methods with . methods methods . systematic methods systematic systematic review with analysis with methods review systematic analysis analysis systematic . analysis . review analysis review . with review methods
18,"for instance , we find a statistically significant abnormal return in response to earnings results and credit rating , but also for disclosures regarding business strategy , the health sector , as well as mergers and acquisitions .",". for instance , we find a statistically significant abnormal return in response to earnings results and credit rating , but also for disclosures regarding business strategy."
19,we present the same results in this research and compare them with other state - of - the - art methods of vision and learning based navigation ., navigation. we present the same results in this research and compare them with other state - of - the - art methods of vision and learning based navigation .
20,the management of self - driving systems is becoming more complex as the development of self - driving technology progresses ., driving systems is becoming more complex as development of self - driving technology progresses.
21,this paper provides a holistic study of how stock prices vary in their response to financial disclosures across different topics ., paper provides a holistic study of how stock prices vary in their response to financial disclosures across different topics.
22,"one approach to the development of self - driving systems is the use of ros ; however , the system used in the automotive industry is typically designed using matlab / simulink , which can simulate and evaluate the models used for self - driving ."," system is typically designed using matlab / simulink , which can simulate and evaluate the models used for self driving."
23,"through this , the self - driving car can identify the contents need to be downloaded from the mec server and cached .",'s self driving car can identify the contents need to be downloaded from the mec server and cached .
24,"however , the majority of available evidence supports a clear dose - response relationship between resistance training volume and physiological responses , such as muscle hypertrophy and health outcomes ."," evidence supports a clear dose - response relationship between resistance training volume and physiological responses , such as muscle hypertrophy and health outcomes."
25,online social networks osns have become increasingly popular means of information sharing among users ., networks have become increasingly popular means of information sharing among users.
26,"as the experimental results demonstrate , our method enables the robot to efficiently navigate through environments containing cluttered regions and achieves significantly shorter completion times compared to a standard approach not using any prediction .", method enables the robot to efficiently navigate through environments containing cluttered regions and achieves significantly shorter completion times compared to a standard approach not using any prediction .
27,"with the developing of the technology on self - driving , more and more l3 driverless vehicles are launched in market , people get opportunities to experience the self - driving cars in their daily life ."," cars. with the developing of the technology on self - driving , more and more l3 driverless vehicles are launched in market."
28,training at intensities as low as 20 % 1 repetition maximum with moderate vascular occlusion results in muscle hypertrophy in as little as 3 weeks ., training at intensities as low as 20 % 1 repetition maximum with moderate vascular occlusion results in muscle hypertrophy in as little as 3 weeks .
29,"in previous work , we have trained a multi - objective convolutional neural network ( cnn ) to identify the robot body in the image and estimate 3d positions of the joints by using just a 2d image , but it was limited to a range of robots produced by universal robots ( ur ) .",nn trained a multi - objective convolutional neural network ( cnn ) to identify the robot body in the image and estimate 3d positions of the joints.
30,"however , the importance - and even the existence - of a post - exercise ‘window ’ can vary according to a number of factors .",". however , the importance - and even the existence - of a post - exercise ‘window ’ can vary according to a number of factors ."
31,"finally , we formulate deep learning based caching in the self - driving car that enhances entertainment services as an optimization problem whose goal is to minimize content downloading delay .", that enhances entertainment services as an optimization problem whose goal is to minimize content downloading delay .
32,"in this paper , we introduce an approach to efficient robot navigation through cluttered indoor environments ."," in this paper , we introduce an approach to efficient robot navigation through cluttered indoor environments."
33,"eight healthy physically active male subjects ( age 21 , 4 ±4 , 8 yr , body mass ( bm ) 79 , 3 ±11 , 9 kg , peak oxygen uptake ( vo2peak ) 48 , 1 ±4 , 8 ml ·kg −1 ·min −1 , leg extension one repetition maximum ( 1rm ) 104 ±20 kg ; values are mean ± sd ) who had been participating in regular exercise ( 3 times wk −1 for >6 months ) volunteered for this study ."," active male subjects ( age 21 , 4 ±4 , 8 yr , body mass ( bm ) 79 , 3 ±11 , 9 kg ) who had been participating in regular exercise ( 3 times wk −1 for >6 months ) volunteered for this study."
34,"it has been hypothesized that eating small , frequent meals enhances fat loss and helps to achieve better weight maintenance ."," that eating small , frequent meals enhances fat loss and helps to achieve better weight maintenance."
35,the prevalence and rapid development of the internet and mobile technology in recent decades has revamped our living styles and daily habits ., of the internet and mobile technology in recent decades has revamped our living styles and daily habits.
36,"moreover , we perform several secondary analyses to gain insight into the cryptojacking landscape , including a measurement of code characteristics , an estimate of expected mining revenue , and an evaluation of current blacklist - based countermeasures ."," to gain insight into the cryptojacking landscape , including a measurement of code characteristics , an estimate of expected mining revenue , and an evaluation of current blacklist - based countermeasures."
37,"the growth of social media provides a convenient communication scheme for people , but at the same time it becomes a hotbed of misinformation ."," media provides a convenient communication scheme for people , but at the same time it becomes a hotbed of misinformation ."
38,"to ride on the digital trend , more business activities have been engaged in the digital world ."," to ride on the digital trend , more business activities have been engaged in a digital world."
39,"considering dynamic obstacles introduces another level of complexity , since they can lead to necessary replanning or collisions at later stages ."," dynamic obstacles introduces another level of complexity , since they can lead to necessary replanning or collisions at later stages ."
40,"as the robot needs time to reach the possible search locations , we take this time as well as the visibility constraints into account when computing effective search locations ."," the robot needs time to reach the possible search locations , we take this time as well as the visibility constraints into account when computing effective locations ."
41,the widespread online misinformation could cause public panic and serious economic damages ., the widespread online misinformation could cause public panic and serious economic damages.
42,"however , the effect of cycle training on muscle size and strength gain still requires further insight , even though it is known that professional cyclists display larger muscle size compared to controls ."," training still requires further insight , even though it is known that professional cyclists display larger muscle size compared to controls."
43,"for this , we consider the bottleneck features , which have been successfully applied to deep neural network ( dnn ) based automatic speech recognition ( asr ) system .",r system is based on deep neural network ( dnn ) based automatic speech recognition ( asr ) system.
44,"chronic kidney disease , a condition that affects around 10 % of the population , is often overlooked as a target for exercise - based therapy .", disease is often overlooked as a target for exercise therapy. chronic kidney disease affects around 10 % of the population.
45,"due to guidelines set by the governments regarding the operation ceiling of civil drones , road - tracking based navigation is garnering interest ."," drones. due to guidelines set by the governments regarding the operation ceiling of civil drones , road - tracking based navigation is garnering interest."
46,nutrient timing is a popular nutritional strategy that involves the consumption of combinations of nutrients - - primarily protein and carbohydrate - - in and around an exercise session ., timing is a popular nutritional strategy that involves the consumption of combinations of nutrients in and around an exercise session.
47,"based on its function of gene perturbation , a variety of gene editing techniques have been developed to achieve different aims .", editing techniques have been developed to achieve different aims. based on its function of gene perturbation.
48,"in recent years self - driving vehicles have become more commonplace on public roads , with the promise of bringing safety and efficiency to modern transportation systems .", vehicles have become more commonplace on public roads with the promise of bringing safety and efficiency to transport systems.
49,"the entropy is derived using singular value decomposition of the components of stock market indices in financial markets from selected developed economies , i , e , , france , germany , the united kingdom , and the united states .", decomposition of components of stock market indices in financial markets from selected developed economies.
50,bodybuilders generally train with moderate loads and fairly short rest intervals that induce high amounts of metabolic stress ., bodybuilders generally train with moderate loads and fairly short rest intervals that induce high amounts of metabolic stress.
51,our findings indicate that confirmation bias in small doses may actually result in improved accuracy across individuals by preserving information diversity in a social network ., may actually result in improved accuracy across individuals by preserving information diversity in a social network.
52,"however , published reports suggest intakes of some individuals can be significantly greater [9 ], [50 ], which is of concern for many ."," intakes of some individuals can be significantly greater [9 ], which is of concern for many ."
53,"after completion of the final set , subjects rested for 5 min before commencing 30 min of continuous cycling at ∼63 % ppo ( ∼70 % vo2peak ) ."," after completion of the final set , subjects rested for 5 min before commencing 30 min of continuous cycling at 63 % ppo ( ∼70 % vo2peak ) ."
54,"there are some datasets available for the popular problems like item recognition and classification for self - driving cars , however , it is very limited for the industrial robotics field .", is very limited for industrial robotics field. there are some datasets available for the popular problems like item recognition and classification for self driving cars.
55,one cannot hope to sufficiently cover the huge number of possible driving situations self - driving cars must be tested for by manually creating such tests ., cars must be tested for by manually creating such tests. one cannot hope to sufficiently cover the huge number of possible driving situations self - driving cars can be test for.
56,"by taking into account the predicted costs for path planning , the robot is then able to navigate in a more foresighted manner and reduces the risk of getting stuck in cluttered regions .", by taking into account the predicted costs for path planning the robot is then able to navigate in a more foresighted manner and reduces the risk of getting stuck in cluttered regions.
57,much less has been said about influence of financial news on financial markets ., less has been said about influence of financial news on financial markets.
58,"after the automation of many production processes and the creation of self - driving vehicles , the automation of society is next .",". after the automation of many production processes and the creation of self - driving vehicles , the automated society is next ."
59,"anti - crispr proteins , which are powerful molecules that inhibit the crispr - cas system , may have the potential to promote better utilization of the crispr - cas system in gene editing , especially for gene therapy .",pr proteins may have the potential to promote better utilization of crispr - cas system in gene editing.
60,"then , the second dnn for primary acoustic modeling employs both the bottleneck features tossed from the first dnn and the acoustics features .", for primary acoustic modeling employs both the bottleneck features tossed from the first dnn and the acoustics features .
61,this paper discusses different types of digital evidence present in microsoft ’s windows mobile smart phones and an agent based approach for logically acquiring such devices ., phones. this paper discusses different types of digital evidence present in microsoft ’s windows mobile smart phones and an agent based approach for logically acquiring such devices.
62,"finally , we present a variation of the bounded confidence model to simulate the emergence of these communities by considering the usersu0027 engagement and trust on the news .", to simulate the emergence of these communities by considering the usersu0027 engagement and trust on the news .
63,"finally , we design novel algorithms for solving the misinformation containment problem .",". finally , we design novel algorithms for solving the misinformation containment problem ."
64,"first , we provide a formal model for multi - cascade diffusion and introduce an important concept called as cascade priority ."," first , we provide a formal model for multi - cascade diffusion and introduce an important concept called as cascade priority ."
65,"natural and efficient human - computer interaction can not only improve the driving experience , but also accelerate the process of self - driving commercialization ."," driving. natural and efficient human - computer interaction can not only improve the driving experience , but also accelerate the process of self driving commercialization."
66,"based on user and tweets characteristics , we build a misinformation detection model that identifies suspicious behavioral patterns and exploits supervised learning techniques to detect misinformation .",". based on user and tweets characteristics , we build a misinformation detection model that identifies suspicious behavioral patterns and exploits supervised learning techniques."
67,"benefits of resistance training include improved physical performance , movement control , walking speed , functional independence , cognitive abilities , and self - esteem ."," benefits of resistance training include improved physical performance , movement control , walking speed , functional independence , cognitive abilities , and self - esteem ."
68,"this is a challenging problem , especially when this person moves around since the robot ’s field of view is constrained and the environment structure typically poses further visibility constraints that influence the perception of the user .",". this is a challenging problem , especially when this person moves around since the robot ’s field of view is constrained and the environment structure typically poses further visibility constraints."
69,"the mechanistic target of rapamycin complex 1 ( mtorc1 ) is a central node for integrating nutrient ( i , e , amino acid ) and exercise / contraction signal transduction [31 ], [32 ."," complex 1 ( mtorc1 ) is a central node for integrating nutrient ( i , e , amino acid ) and exercise / contraction signal transduction [31 , [32 ."
70,"for this purpose , we utilize an approach from data mining - namely , latent dirichlet allocation - as a means of topic modeling ."," of topic modeling. for this purpose , we utilize an approach from data mining - namely , latent dirichlet allocation."
71,our approach enables a population - scale study of conspiracy theories in alternative news and social media with implications for understanding their adoption and combating their spread ., study of conspiracy theories in alternative news and social media with implications for understanding their adoption and combating their spread.
72,"however , retrieving entertainment contents at the data center ( dc ) can hinder content delivery service due to high delay of car - to - dc communication .",. retrieving entertainment contents at the data center ( dc ) can hinder content delivery service due to high delay of car - to - dc communication .
73,we propose our data is of paramount interest to athletes and coaches ., we propose our data is of paramount interest to athletes and coaches .
74,"by adopting marketing as a set - of - skills approach , the study provides new insights into the existing tourism literature on e - marketing .", marketing as a set of skills approach. Study provides new insights into existing tourism literature on e - marketing.
75,"the case study of new york shows that the current taxi demand in manhattan can be met with about 8 , 000 robotic vehicles roughly 70 % of the size of the current taxi fleet operating in manhattan ."," can be met with about 8 , 000 robotic vehicles roughly 70 % of the size of current taxi fleet operating in manhattan ."
76,large drones are used singly in missions while small ones are used in formations or swarms ., drones are used singly in missions while small ones used in formations or swarms.
77,autoware is popular open - source software that provides a complete set of self - driving modules ., is popular open - source software that provides a complete set of self - driving modules.
78,"the data used for training the system has been captured from the drone , by flying it in and around urban and semi - urban streets , by experts having at least 6 - 8 years of flying experience .", drones have been trained by experts having at least 6 - 8 years of flying experience.
79,"our primary conclusion is that exercise intensity seems to be the key variable for maintaining physical performance over time , despite relatively large reductions in exercise frequency and volume ."," exercise intensity seems to be the key variable for maintaining physical performance over time , despite relatively large reductions in exercise frequency and volume ."
80,"drawing on this work , i examine the kinds of evidence typically associated with conspiracy theories , showing that the evidential problems typically associated with conspiracy theories are not unique to such theories .",". drawing on this work , i examine the kinds of evidence typically associated with conspiracy theories , showing that the evidential problems are not unique to such theories ."
81,"resistance exercise should be performed at low - intensity without breath - holding and should be used as supplementary exercise , but resistance exercise is contraindicated in patients with hypertension who have chest symptoms such as chest pain .", exercise should be performed at low intensity without breath - holding. resistance exercise is contraindicated in patients with hypertension who have chest symptoms such as chest pain.
82,our investigation suggests that the dynamics of cryptocurrency are more similar to stock ., investigation suggests that the dynamics of cryptocurrency are more similar to stock .
83,sarcopenia is the age - associated loss of muscle mass and is one of the main contributors to musculoskeletal impairments in the elderly .,openia is the age - associated loss of muscle mass and is one of the main contributors to musculoskeletal impairments.
84,"these communication systems render self - driving vehicles vulnerable to many types of malicious attacks , such as sybil attacks , denial of service ( dos ) , black hole , grey hole and wormhole attacks ."," systems render self - driving vehicles vulnerable to many types of malicious attacks , such as sybil attacks and wormhole attacks."
85,"therefore , the proposed framework allows models created using matlab / simulink to be used in a ros - based self - driving system , thereby improving development efficiency .", models created using matlab / simulink to be used in a ros - based self - driving system.
86,"we introduce a stylized social learning model where most participants in a network update their beliefs unbiasedly based on the arrival of new information , while a fraction of participants display confirmation bias , enabling them to reject news that are incongruent with their pre - existing beliefs .", learning model. Most participants in a network update their beliefs unbiasedly based on the arrival of new information while a fraction of participants display confirmation bias.
87,"spss clementinel2 , 0 statistical software was used to mine the association rules between etiology and traditional chinese medicine ( tcm ) , syndromes and tcm , symptoms and tcm .","i. spss clementinel2 , 0 statistical software was used to mine the association rules between etiology and traditional chinese medicine."
88,"additionally , more in - depth research on these proteins would help researchers to better understand the co - evolution of bacteria and phages ."," would help researchers to better understand the co - evolution of bacteria and phages. additionally , more in - depth research on these proteins."
89,"in japan , there were an estimated 43 million patients with hypertension in 2010 .", in in japan there were an estimated 43 million patients with
90,"we find that cryptojacking is common , with currently 1 out of 500 sites hosting a mining script .","ojacking is common , with currently 1 out of 500 sites hosting a mining script ."
91,"diane is a digital assistant system that aims to fasten the doctor access to various informations at the hospital such as health care facility , medical records , and also human resource data , the fasten access could be achieved by implementing face recognition and live streaming as part of the digital assistant system .",". diane is a digital assistant system that aims to fasten the doctor access to various informations at the hospital such as health care facility , medical records and human resource data."
92,"collectively , this paper provides a rigorous approach to the problem of system - wide coordination of autonomously driving vehicles , and provides one of the first characterizations of the sustainability benefits of robotic transportation networks ."," of autonomously driving vehicles , and provides one of the first characterizations of sustainability benefits of robotic transportation networks. collectively , this paper provides a rigorous approach to the problem of system - wide coordination of autonomous vehicles."
93,"in this paper we study the problem of misinformation identification in osns , and we focus in particular on the twitter social network ."," network. in this paper we study the problem of misinformation identification in osns , and we focus in particular on the twitter social network ."
94,also it describes a tool developed for forensically acquiring and analyzing windows mobile devices and wince pdas ., is a tool developed for forensically acquiring and analyzing windows mobile devices.
95,"to solve the formulated problem , a block successive majorization - minimization ( bs - mm ) technique is applied ."," solve the formulated problem , a block successive majorization - minimization ( bs - mm ) technique is applied ."
96,"powerlifters , on the other hand , routinely train with high - intensity loads and lengthy rest periods between sets ."," powerlifters , on the other hand , routinely train with high intensity loads and lengthy rest periods between sets."
97,the post - exercise period is widely considered the most critical part of nutrient timing ., period most period period is period post period the period . period important period
98,these applications require the design of single guide rnas ( sgrnas ) that are efficient and specific .,nas that are efficient and specific. these applications require the design of single guide rnas ( sgrnas )
99,"once the network learns feature that can discriminate between different image editing operations , it can differentiate between different image editing operations not present in the training stage .", can differentiate between different image editing operations not present in the training stage. once the network learns feature that can discriminate between images edited in different ways.
100,"additionally , there is a paucity of data to support the inverted u - shaped response ."," , there is a paucity of data to support the inverted u - shaped response ."
101,"in this paper , we systematically explore this phenomenon , for this , we propose a 3 - phase analysis approach , which enables us to identify mining scripts and conduct a large - scale study on the prevalence of cryptojacking in the alexa 1 million websites .",a 1 million websites . We propose a 3 - phase analysis approach which enables us to identify mining scripts and conduct a large - scale study.
102,"to enable the transfer learning , we let the cnn produce not only a steering command but also a lane departure level ( ldl ) by adding a new task module , which takes the output of the last convolutional layer as input .","nn to enable the transfer learning , we let the cnn produce not only a steering command but also a lane departure level ( ldl ) by adding a new task module , which takes the output of the last convolutional layer as input ."
103,vandal consists of an analysis pipeline that converts low - level ethereum virtual machine ( evm ) bytecode to semantic logic relations ., consists of an analysis pipeline that converts low - level ethereum virtual machine ( evm ) bytecode to semantic logic relations.
104,"as such , it is important to guarantee the timeline integrity of both hosts and guests in a cloud , or at least to ensure that the alteration of such timeline does not go undetected ."," is important to guarantee the timeline integrity of both hosts and guests in a cloud , or at least to ensure that the alteration of such timeline does not go undetected ."
105,matlab / simulink provides an interface between ros and matlab / simulink that enables to create functionalities of ros - based robots in matlab / simulink .,ink provides an interface between ros and matlab / simulink that enables to create functionalities of ro's - based robots.
106,"memory is a process in which information is encoded , stored , and retrieved ."," memory is a process in which information is encoded , stored , and retrieved."
107,"furthermore , for service and manipulation tasks , it is more suitable to study the interaction between the robot and its environment at the contact point using the sensor based control , rather than specifying the joint positions and velocities required to achieve them .", is more suitable to study the interaction between the robot and its environment at the contact point using the sensor based control than specifying the joint positions and velocities required to achieve them.
108,"the study employed a randomized counter - balanced , cross - over design in which each subject completed bouts of consecutive resistance , continuous and intermittent high - intensity exercise with either post - exercise ingestion of alcohol - carbohydrate ( alc - cho ) , alcohol - protein ( alc - pro ) or protein only ( pro ) beverages on three separate occasions ."," ingestion of alcohol - carbohydrate ( alc - cho ) or protein only ( pro ) beverages on three separate occasions. the study employed a randomized counter - balanced , cross - over design in which each subject completed bouts of consecutive resistance , continuous and intermittent high - intensity exercise."
109,our experiments in various simulated environments demonstrate that our approach leads to a significantly shorter search time compared to a greedy approach with background information ., a greedy approach with background information. our experiments in various simulated environments demonstrate that our approach leads to a significantly shorter search time.
110,"when learning the bottleneck features to catch , we first exploit the motor on / off state data as supplementary information in addition to the acoustic features as the input of the first deep neural network ( dnn ) for preliminary acoustic modeling ."," for preliminary acoustic modeling. when learning the bottleneck features to catch , we first exploit the motor on / off state data as supplementary information."
111,"finally , we focus on the practical application of this information to strategies to maximize the benefits of cardiovascular recovery , or minimize the vulnerabilities of this state .",". strategies to maximize the benefits of cardiovascular recovery , or minimize the vulnerabilities of this state."
112,"our results yield findings that benefit managers , investors and policy - makers by indicating how regulatory filings should be structured and the topics most likely to precede changes in stock valuations .", topics most likely to precede changes in stock valuations.
113,"the overarching principle argued herein is that volume is the most easily modifiable variable that has the most evidenced - based response with important repercussions , be these muscle hypertrophy or health .", that volume is the most easily modifiable variable that has most evidenced - based response with important repercussions.
114,"intriguingly , in these studies , the stretching was carried out with an apparatus that aided in its performance , or with an external overload ."," studies were carried out with an apparatus that aided in its performance or with external overload. intriguingly , in these studies , the stretching was done with or without an external apparatus."
115,"furthermore , our model manages to timely identify misinformation , a feature that can be used to limit the spread of the misinformation .",". furthermore , our model manages to timely identify misinformation , a feature that can be used to limit the spread of the misinformation ."
116,guest virtual machines are especially vulnerable to attacks coming from their ( more privileged ) host ., machines are especially vulnerable to attacks coming from their ( more privileged ) host .
117,"research aimed at understanding the dynamics of this new style of financial market is hampered by the fact that no operational real - world exchange is ever likely to allow experimental probing of that market while it is open and running live , forcing researchers to work primarily from time - series of past trading data ."," market is hampered by the fact that no operational real world exchange is ever likely to allow experimental probing of that market while it is open and running live , forcing researchers to work primarily from time series of past trading data."
118,"the rise of key opinion leaders ( kols ) , social media platforms , and omni - channel retailing have attracted countless business entities to consider the adoption of digital marketing tools for promoting and advertising their brands and products ."," opinion leaders ( kols ) , social media platforms , and omni channel retailing."
119,we conducted a systematic review and meta - analysis to determine whether alterations in repetition duration can amplify the hypertrophic response to rt ., we conducted a systematic review and meta analysis to determine whether alterations in repetition duration can amplify the hypertrophic response to rt .
120,"in this study , the relative preferences for a trip with a self - driving bus is assessed compared to a trip with a regular bus , based on a stated preference experiment .", bus is assessed compared to a regular bus based on a stated preference experiment.
121,"the management of this condition is given the highest priority in disease control , and the importance of lifestyle changes for the prevention and treatment of hypertension has been recognized in japan .", management of this condition is given the highest priority in disease control.
122,some have claimed that this approach can produce dramatic improvements in body composition .,. some have claimed that this approach can produce dramatic improvements in body composition.
123,"further , we describe a novel architecture for host and guest time alteration detection and correction / resilience with respect to compromised hosts and guests ."," , we describe a novel architecture for host and guest time alteration detection and correction / resilience with respect to compromised hosts and guests ."
124,"the developed method not only streamlines the internal business process of digital marketing tool selection , but it also increases the practitioner 's effectiveness of achieving the pre - defined strategic marketing objectives .", method streamlines the internal business process of digital marketing tool selection. It also increases the practitioner 's effectiveness of achieving the pre - defined strategic marketing objectives.
125,stretch training is widely used in a variety of fitness ., training is widely used in a variety of fitness .
126,"misinformation is a multifaceted concept , more complex than simply being inaccurate or incomplete , and disinformation does not always entail misinformation .", misinformation misinformation is misinformation than misinformation not misinformation or misinformation
127,the percentage of mobile phones or smart phones involved in cyber crimes is in hike ., phones or smart phones involved in cyber crimes is in hike .
128,it also shows that users ' english language proficiency plays an important role in interacting with vuis .,. It also shows that users ' english language proficiency plays an important role in interacting with vuis .
129,"in particular , emphasis has been placed on increasing the levels of activities of daily living and physical exercise ( sports ) ."," in particular , emphasis has been placed on increasing the levels of activities of daily living and physical exercise."
